FID,REPORTDATE,BLOCKADD,OFFENSE
6050,2015-06-15 00:00:00,3100 Block Broadway,Auto Theft
6051,2015-07-06 00:00:00,2700 Block Valmont Rd,Auto Theft
6052,2015-10-11 00:00:00,800 Block S Lashley Ln,Auto Theft
6053,2015-11-11 00:00:00,1300 Block 28th St,Auto Theft
6054,2015-11-17 00:00:00,2400 Block 48th St,Auto Theft
6055,2015-11-17 00:00:00,1700 Block 33rd St,Assault
6056,2015-11-06 00:00:00,600 Block University Ave,Sex Assault
6057,2015-11-08 00:00:00,4500 Block 8th St,Vandalism
6058,2015-11-06 00:00:00,900 Block 28th St,Burglary
6059,2015-11-07 00:00:00,28th St & Jay Rd,Burglary
6060,2015-11-08 00:00:00,11th St & Pennsylvania Ave,Assault
6061,2015-11-08 00:00:00,2900 Block Pearl St,Vandalism
6062,2015-11-06 00:00:00,900 Block Quince Ave,Burglary
6063,2015-11-09 00:00:00,1400 Block Oak Pl,Burglary
6064,2015-11-09 00:00:00,1500 Block Greenbriar Blvd,Sex Assault
6065,2015-11-09 00:00:00,Broadway & University Ave,Sex Assault
6066,2017-12-23 00:00:00,900 Block Pleasant St,Vandalism
6067,2015-11-09 00:00:00,300 Block Bates Ave,Burglary
6068,2015-11-11 00:00:00,4500 Block Arapahoe Ave,Trespassing
6069,2015-11-09 00:00:00,900 Block Marine St,Burglary
6070,2015-11-12 00:00:00,4600 Block 17th St,Theft From Vehicle
6071,2015-11-07 00:00:00,4700 Block Arapahoe Ave,Theft From Vehicle
6072,2015-10-31 00:00:00,500 Block Pearl St,Theft From Vehicle
6073,2015-10-31 00:00:00,700 Block Walnut St,Theft From Vehicle
6074,2015-11-14 00:00:00,1700 Block 14th St,Assault
6075,2015-11-10 00:00:00,900 Block 28th St,Burglary
6076,2015-11-10 00:00:00,4500 Block 8th St,Vandalism
6077,2015-11-10 00:00:00,4700 Block 16th St,Theft From Vehicle
6078,2015-11-10 00:00:00,3100 Block 3rd St,Burglary
6079,2015-11-10 00:00:00,1500 Block Yaupon Ave,Theft From Vehicle
6080,2015-11-10 00:00:00,4600 Block 16th St,Theft From Vehicle
6081,2016-03-28 00:00:00,30th St & Pearl St,Incident
6082,2016-04-04 00:00:00,1300 Block College Ave,Vandalism
6083,2016-04-05 00:00:00,1700 Block 30th St,Trespassing
6084,2016-04-13 00:00:00,500 Block 30th St,Vandalism
6085,2016-04-13 00:00:00,1300 Block Lawry Ln,Trespassing
6086,2016-04-13 00:00:00,1200 Block Eisenhower Dr,Incident
6087,2016-04-13 00:00:00,3300 Block Arapahoe Ave,Burglary
6088,2016-04-13 00:00:00,4400 Block 9th St,Theft From Vehicle
6089,2016-04-14 00:00:00,3600 Block Chase Ct,Vandalism
6090,2016-04-14 00:00:00,3200 Block Cripple Creek Trl,Vandalism
6091,2016-04-13 00:00:00,2300 Block Pine St,Theft From Vehicle
6092,2016-04-10 00:00:00,1100 Block University Ave,Vandalism
6093,2016-04-12 00:00:00,4300 Block Hanover Ave,Theft From Vehicle
6094,2016-04-14 00:00:00,3100 Block Bell Dr,Motorcycle Theft
6095,2016-04-11 00:00:00,Crime occurred at an unknown location,Incident
6096,2016-04-16 00:00:00,1000 Block 12th St,Theft From Vehicle
6097,2016-04-15 00:00:00,1800 Block Commerce St,Incident
6098,2016-04-15 00:00:00,2800 Block Sundown Ln,Vandalism
6099,2016-04-15 00:00:00,1800 Block 19th St,Theft From Vehicle
6100,2016-04-15 00:00:00,3200 Block Walnut St,Trespassing
6101,2016-04-15 00:00:00,1900 Block 11th St,Trespassing
6102,2016-04-16 00:00:00,2300 Block Broadway,Vandalism
6103,2016-04-15 00:00:00,3300 Block 34th St,Burglary
6104,2016-04-17 00:00:00,2800 Block Iris Ave,Vandalism
6105,2016-04-15 00:00:00,1100 Block Marine St,Incident
6106,2016-03-18 00:00:00,3500 Block Broadway,Auto Theft
6107,2016-03-19 00:00:00,2800 Block Pearl St,Trespassing
6108,2016-03-19 00:00:00,1800 Block 33rd St,Trespassing
6109,2016-03-18 00:00:00,1000 Block Pearl St,Trespassing
6110,2016-03-18 00:00:00,4900 Block Twin Lakes Rd,Theft From Vehicle
6111,2016-03-19 00:00:00,1300 Block Violet Ave,Theft From Vehicle
6112,2016-03-21 00:00:00,1000 Block Pennsylvania Ave,Incident
6113,2016-03-21 00:00:00,1000 Block Canyon Blvd,Trespassing
6114,2016-03-21 00:00:00,1900 Block Tincup Ct,Vandalism
6115,2016-03-21 00:00:00,Alpine Ave & Broadway,Robbery
6116,2016-03-21 00:00:00,4500 Block 14th St,Incident
6117,2016-03-21 00:00:00,1500 Block Knox Dr,Vandalism
6118,2016-03-21 00:00:00,600 Block Arapahoe Ave,Sex Assault
6119,2016-03-21 00:00:00,3000 Block Valmont Rd,Sex Assault
6120,2016-03-23 00:00:00,3500 Block 28th St,Incident
6121,2016-03-24 00:00:00,1600 Block 29th St,Burglary
6122,2016-03-24 00:00:00,4300 Block Drew Cir,Vandalism
6123,2016-03-06 00:00:00,2900 Block Shady Hollow W,Burglary
6124,2016-03-10 00:00:00,800 Block Marine St,Theft From Vehicle
6125,2016-03-08 00:00:00,2100 Block Kohler Dr,Vandalism
6126,2016-03-14 00:00:00,1100 Block 13th St,Incident
6127,2016-03-09 00:00:00,700 Block Mohawk Dr,Theft From Vehicle
6128,2016-03-07 00:00:00,3000 Block Broadway,Burglary
6129,2016-03-07 00:00:00,900 Block Marine St,Trespassing
6130,2016-03-25 00:00:00,1200 Block Canyon Blvd,Trespassing
6131,2016-03-26 00:00:00,Darley Ave & Fairfield Dr,Theft From Vehicle
6132,2016-03-26 00:00:00,1100 Block Pearl St,Incident
6133,2016-03-26 00:00:00,3300 Block Darley Ave,Theft From Vehicle
6134,2016-03-26 00:00:00,Darley Ave & Fairfield Dr,Theft From Vehicle
6135,2016-03-26 00:00:00,28th St & Taft Dr,Assault
6136,2016-03-26 00:00:00,3700 Block Telluride Cir,Auto Theft
6137,2016-03-27 00:00:00,1700 Block 29th St,Burglary
6138,2016-03-26 00:00:00,Darley Ave & Hartford Dr,Theft From Vehicle
6139,2016-03-26 00:00:00,1100 Block 13th St,Burglary
6140,2016-03-27 00:00:00,1500 Block 28th St,Burglary
6141,2016-03-26 00:00:00,4200 Block Broadway,Theft From Vehicle
6142,2016-03-22 00:00:00,15th St & Elder Ave,Assault
6143,2016-03-22 00:00:00,4700 Block Baseline Rd,Burglary
6144,2016-03-22 00:00:00,1700 Block 30th St,Theft From Vehicle
6145,2015-02-19 00:00:00,2500 Block Woodstock Pl,Theft From Vehicle
6146,2015-02-19 00:00:00,1800 Block Arapahoe Ave,Trespassing
6147,2015-02-19 00:00:00,16th St & Grove St,Vandalism
6148,2015-02-22 00:00:00,5300 Block S Boulder Rd,Theft From Vehicle
6149,2015-02-24 00:00:00,4800 Block Broadway,Vandalism
6150,2015-02-24 00:00:00,1900 Block 29th St,Incident
6151,2015-02-24 00:00:00,5700 Block Arapahoe Ave,Theft From Vehicle
6152,2015-02-24 00:00:00,1100 Block Spruce St,Vandalism
6153,2015-02-25 00:00:00,1700 Block 15th St,Vandalism
6154,2015-02-25 00:00:00,700 Block 29th St,Assault
6155,2015-02-25 00:00:00,3000 Block 28th St,Trespassing
6156,2015-02-25 00:00:00,900 Block 28th St,Trespassing
6157,2015-03-03 00:00:00,2800 Block E Aurora Ave,Theft From Vehicle
6158,2015-03-03 00:00:00,2800 Block Pearl St,Robbery
6159,2015-03-03 00:00:00,6300 Block Spine Rd,Vandalism
6160,2015-03-04 00:00:00,00 Block Bucknell Ct,Vandalism
6161,2015-03-04 00:00:00,1000 Block Canyon Blvd,Trespassing
6162,2015-03-04 00:00:00,500 Block Boulder Creek Bike Path,Assault
6163,2015-03-05 00:00:00,700 Block 36th St,Theft From Vehicle
6164,2015-03-06 00:00:00,3100 Block Broadway,Vandalism
6165,2015-03-10 00:00:00,Littleleaf Ln & Raintree Pl,Vandalism
6166,2015-03-06 00:00:00,1300 Block Euclid Ave,Vandalism
6167,2015-03-12 00:00:00,5500 Block Airport Rd,Burglary
6168,2015-02-17 00:00:00,Cedar Ave & Ellison Pl,Trespassing
6169,2015-02-15 00:00:00,900 Block Pennsylvania Ave,Burglary
6170,2015-02-14 00:00:00,4700 Block Broadway,Auto Theft
6171,2015-02-22 00:00:00,1100 Block Marine St,Trespassing
6172,2017-09-05 00:00:00,1900 Block 9th St,Burglary
6173,2015-02-23 00:00:00,1400 Block Folsom St,Trespassing
6174,2015-02-22 00:00:00,1100 Block 11th St,Vandalism
6175,2015-02-24 00:00:00,11th St & Spruce St,Theft From Vehicle
6176,2015-03-05 00:00:00,1000 Block 12th St,Sex Assault
6177,2015-03-05 00:00:00,1200 Block Periwinkle Dr,Sex Assault
6178,2015-03-06 00:00:00,800 Block Zamia Av,Incident
6179,2015-03-06 00:00:00,2900 Block 55th St,Auto Theft
6180,2015-03-06 00:00:00,1100 Block Pearl St,Trespassing
6181,2015-03-06 00:00:00,3300 Block 28th St,Trespassing
6182,2015-02-24 00:00:00,900 Block Baseline Rd,Theft From Vehicle
6183,2015-02-27 00:00:00,1600 Block 30th St,Vandalism
6184,2015-02-25 00:00:00,3100 Block Pearl Pkwy,Assault
6185,2015-02-25 00:00:00,1300 Block Yellow Pine Ave,Burglary
6186,2015-03-03 00:00:00,1100 Block Pine St,Trespassing
6187,2015-03-03 00:00:00,1600 Block Broadway,Incident
6188,2015-02-14 00:00:00,1100 Block 11th St,Sex Assault
6189,2015-02-25 00:00:00,5700 Block Arapahoe Ave,Theft From Vehicle
6190,2015-02-27 00:00:00,4700 Block Table Mesa Dr,Burglary
6191,2015-03-03 00:00:00,1700 Block Walnut St,Auto Theft
6192,2015-02-22 00:00:00,1100 Block Portland Pl,Trespassing
6193,2015-02-25 00:00:00,1700 Block 15th St,Vandalism
6194,2015-02-25 00:00:00,1900 Block Walnut St,Trespassing
6195,2015-03-06 00:00:00,2900 Block Pearl St,Trespassing
6196,2015-02-28 00:00:00,1900 Block 11th St,Assault
6197,2015-03-07 00:00:00,4900 Block Osage Dr,Auto Theft
6198,2015-03-08 00:00:00,11th St & Pearl St,Robbery
6199,2015-03-06 00:00:00,2600 Block Taft Dr,Theft Of Car Parts
6200,2015-02-20 00:00:00,5200 Block Tenino Ave,Burglary
6201,2015-02-20 00:00:00,2400 Block Kalmia Ave,Vandalism
6202,2015-02-21 00:00:00,2000 Block Columbine Ave,Burglary
6203,2015-02-22 00:00:00,1100 Block Pearl St,Vandalism
6204,2015-02-22 00:00:00,2600 Block Baseline Rd,Burglary
6205,2015-02-22 00:00:00,3300 Block 28th St,Vandalism
6206,2015-02-21 00:00:00,1800 Block Baseline Rd,Vandalism
6207,2015-02-20 00:00:00,300 Block S Broadway,Vandalism
6208,2015-02-20 00:00:00,900 Block Kalmia Ave,Burglary
6209,2015-02-20 00:00:00,500 Block Foothills Pkwy,Theft From Vehicle
6210,2015-07-03 00:00:00,1500 Block Pearl St,Trespassing
6211,2015-07-02 00:00:00,30th St & Diagonal Hwy,Incident
6212,2015-07-03 00:00:00,2500 Block Table Mesa Dr,Vandalism
6213,2015-07-05 00:00:00,1000 Block Canyon Blvd,Trespassing
6214,2015-07-04 00:00:00,13th St & Walnut St,Assault
6215,2015-07-05 00:00:00,2500 Block Broadway,Vandalism
6216,2015-07-04 00:00:00,1000 Block 13th St,Burglary
6217,2015-07-05 00:00:00,1000 Block Canyon Blvd,Trespassing
6218,2015-07-05 00:00:00,1000 Block Canyon Blvd,Trespassing
6219,2015-07-03 00:00:00,3000 Block Madison Ave,Burglary
6220,2015-07-04 00:00:00,1000 Block Union Ave,Sex Assault
6221,2015-07-04 00:00:00,600 Block Arapahoe Ave,Burglary
6222,2015-06-29 00:00:00,2900 Block Pearl St,Vandalism
6223,2015-07-07 00:00:00,1700 Block 15th St,Burglary
6224,2015-07-07 00:00:00,2900 Block E Aurora Ave,Motorcycle Theft
6225,2015-07-07 00:00:00,3500 Block Arthur Ct,Vandalism
6226,2015-07-07 00:00:00,1000 Block Pennsylvania Ave,Burglary
6227,2015-07-07 00:00:00,5700 Block Arapahoe Ave,Burglary
6228,2015-07-07 00:00:00,3100 Block 10th St,Theft From Vehicle
6229,2015-07-07 00:00:00,28th St & Springdale Ln,Trespassing
6230,2015-04-27 00:00:00,1400 Block Pearl St,Trespassing
6231,2015-05-06 00:00:00,1100 Block University Ave,Vandalism
6232,2015-05-08 00:00:00,2900 Block Baseline Rd,Vandalism
6233,2015-05-11 00:00:00,700 Block Yellow Pine Ave,Vandalism
6234,2015-07-27 00:00:00,1200 Block Canyon Blvd,Robbery
6235,2015-07-27 00:00:00,3300 Block Everett Dr,Burglary
6236,2015-07-27 00:00:00,1800 Block 19th St,Incident
6237,2015-07-28 00:00:00,3000 Block Arapahoe Ave,Vandalism
6238,2015-07-28 00:00:00,1700 Block 30th St,Trespassing
6239,2015-07-28 00:00:00,1600 Block Pine St,Burglary
6240,2015-08-03 00:00:00,1000 Block Walnut St,Vandalism
6241,2015-08-03 00:00:00,3800 Block Monterey Pl,Burglary
6242,2015-08-06 00:00:00,5000 Block Laurel Ave,Vandalism
6243,2015-07-25 00:00:00,800 Block 28th St,Trespassing
6244,2015-07-31 00:00:00,1000 Block Canyon Blvd,Theft From Vehicle
6245,2015-08-10 00:00:00,1500 Block Spruce St,Assault
6246,2015-08-10 00:00:00,2600 Block Mapleton Ave,Trespassing
6247,2015-08-10 00:00:00,2900 Block Diagonal Hwy,Vandalism
6248,2015-07-29 00:00:00,Chase Ct & Moorhead Ave,Theft From Vehicle
6249,2015-08-11 00:00:00,1100 Block 11th St,Motorcycle Theft
6250,2015-08-11 00:00:00,2700 Block 28th St,Incident
6251,2015-08-11 00:00:00,3200 Block 47th St,Vandalism
6252,2015-08-11 00:00:00,900 Block 28th St,Trespassing
6253,2015-08-11 00:00:00,1100 Block 11th St,Burglary
6254,2015-08-11 00:00:00,2700 Block 28th St,Burglary
6255,2015-07-28 00:00:00,1700 Block 28th St,Burglary
6256,2015-08-07 00:00:00,1700 Block Broadway,Vandalism
6257,2015-08-17 00:00:00,Darwin Ct & Kings Ridge Bv,Theft From Vehicle
6258,2015-08-17 00:00:00,800 Block Grant Pl,Theft From Vehicle
6259,2015-08-17 00:00:00,1600 Block 19th St,Burglary
6260,2015-08-17 00:00:00,200 Block Arapahoe Ave,Sex Assault
6261,2015-08-17 00:00:00,2000 Block Arapahoe Ave,Trespassing
6262,2015-06-27 00:00:00,1600 Block 28th St,Trespassing
6263,2015-07-07 00:00:00,3100 Block 10th St,Theft From Vehicle
6264,2015-07-10 00:00:00,900 Block Cedar Ave,Theft From Vehicle
6265,2015-07-11 00:00:00,2300 Block Panorama Ave,Theft From Vehicle
6266,2015-07-11 00:00:00,900 Block 7th St,Vandalism
6267,2015-07-10 00:00:00,2000 Block Broadway,Vandalism
6268,2015-07-11 00:00:00,10th St & Pearl St,Indecent Exposure
6269,2015-07-12 00:00:00,Chambers Dr & Macky Way,Theft From Vehicle
6270,2015-07-10 00:00:00,800 Block Gillaspie Dr,Burglary
6271,2015-07-12 00:00:00,1300 Block Chambers Dr,Burglary
6272,2015-07-11 00:00:00,2000 Block 26th St,Theft From Vehicle
6273,2015-07-04 00:00:00,1700 Block 29th St,Vandalism
6274,2015-11-16 00:00:00,3400 Block Everett Dr,Vandalism
6275,2015-11-16 00:00:00,900 Block Marine St,Vandalism
6276,2015-11-07 00:00:00,900 Block 15th St,Burglary
6277,2015-11-11 00:00:00,00 Block S Boulder Cir,Vandalism
6278,2015-11-04 00:00:00,3000 Block Broadway,Trespassing
6279,2015-11-07 00:00:00,1100 Block Grandview Ave,Vandalism
6280,2015-10-31 00:00:00,900 Block 14th St,Trespassing
6281,2015-11-15 00:00:00,1900 Block Glenwood Dr,Vandalism
6282,2015-11-20 00:00:00,24th Pl & Pearl St,Assault
6283,2015-11-20 00:00:00,2500 Block Arapahoe Ave,Incident
6284,2015-11-20 00:00:00,3100 Block 28th St,Assault
6285,2015-11-20 00:00:00,2400 Block Baseline Rd,Incident
6286,2015-11-20 00:00:00,4400 Block Hastings Dr,Auto Theft
6287,2017-12-23 00:00:00,5400 Block White Pl,Theft From Vehicle
6288,2015-11-21 00:00:00,10th St & Spruce St,Theft From Vehicle
6289,2015-11-20 00:00:00,3000 Block Denton Ave,Assault
6290,2015-11-20 00:00:00,1000 Block 14th St,Incident
6291,2015-11-21 00:00:00,2700 Block Lafayette Dr,Vandalism
6292,2015-11-11 00:00:00,1000 Block 11th St,Theft From Vehicle
6293,2015-11-11 00:00:00,1600 Block 30th St,Trespassing
6294,2015-11-11 00:00:00,3100 Block Broadway,Vandalism
6295,2015-11-11 00:00:00,1200 Block Tamarack Ave,Burglary
6296,2015-11-11 00:00:00,1600 Block Bluebell Ave,Vandalism
6297,2015-10-17 00:00:00,800 Block 17th St,Vandalism
6298,2015-09-02 00:00:00,1500 Block Bradley Dr,Burglary
6299,2015-11-08 00:00:00,2100 Block 24th St,Vandalism
6300,2015-11-09 00:00:00,2900 Block Tincup Cir,Burglary
6301,2015-11-16 00:00:00,2900 Block Broadway,Burglary
6302,2015-11-16 00:00:00,1000 Block Arapahoe Ave,Theft From Vehicle
6303,2015-11-16 00:00:00,2200 Block Arapahoe Ave,Theft From Vehicle
6304,2015-11-16 00:00:00,3100 Block Broadway,Burglary
6305,2015-11-14 00:00:00,700 Block 29th St,Theft From Vehicle
6306,2015-11-24 00:00:00,2700 Block Baylor Dr,Burglary
6307,2015-11-12 00:00:00,1500 Block Greenbriar Blvd,Vandalism
6308,2015-11-23 00:00:00,1600 Block S Broadway,Vandalism
6309,2015-11-27 00:00:00,00 Block Pima Ct,Burglary
6310,2015-11-30 00:00:00,1400 Block Walnut St,Auto Theft
6311,2015-11-27 00:00:00,3200 Block Walnut St,Trespassing
6312,2015-11-28 00:00:00,Arapahoe Av & Eisenhower Dr,Vandalism
6313,2015-12-01 00:00:00,800 Block North St,Indecent Exposure
6314,2015-11-14 00:00:00,1200 Block Norwood Ave,Burglary
6315,2015-11-13 00:00:00,1800 Block Baseline Rd,Vandalism
6316,2015-11-15 00:00:00,1800 Block Alpine Ave,Trespassing
6317,2015-11-15 00:00:00,1700 Block 30th St,Burglary
6318,2015-11-14 00:00:00,1100 Block 11th St,Theft From Vehicle
6319,2015-11-13 00:00:00,600 Block Manhattan Pl,Theft From Vehicle
6320,2015-11-13 00:00:00,1000 Block Canyon Blvd,Theft From Vehicle
6321,2015-11-13 00:00:00,600 Block Manhattan Pl,Theft From Vehicle
6322,2015-11-15 00:00:00,14th St & Arapahoe Ave,Trespassing
6323,2015-11-13 00:00:00,1900 Block 14th St,Burglary
6324,2015-11-14 00:00:00,15th St & Aurora Ave,Vandalism
6325,2015-11-14 00:00:00,1000 Block 13th St,Vandalism
6326,2015-11-13 00:00:00,2800 Block E Aurora Ave,Vandalism
6327,2015-11-14 00:00:00,100 Block Iroquois Dr,Theft From Vehicle
6328,2015-11-13 00:00:00,3200 Block Eastman Ave,Vandalism
6329,2015-11-15 00:00:00,1000 Block Marine St,Vandalism
6330,2015-11-13 00:00:00,3600 Block Madison Ave,Trespassing
6331,2015-11-19 00:00:00,1000 Block 13th St,Trespassing
6332,2015-11-19 00:00:00,3100 Block Pearl Pkwy,Trespassing
6333,2015-11-23 00:00:00,1900 Block Hardscrabble Pl,Burglary
6334,2015-11-23 00:00:00,2800 Block Kalmia Ave,Vandalism
6335,2015-11-23 00:00:00,1800 Block Cascade Ave,Vandalism
6336,2015-11-22 00:00:00,2800 Block 29th St,Incident
6337,2015-11-23 00:00:00,9th St & Maxwell Ave,Auto Theft
6338,2015-12-02 00:00:00,1800 Block 28th St,Trespassing
6339,2016-03-24 00:00:00,200 Block Arapahoe Ave,Trespassing
6340,2016-03-24 00:00:00,4400 Block Broadway,Vandalism
6341,2016-03-24 00:00:00,1300 Block 28th St,Incident
6342,2016-03-24 00:00:00,2900 Block Baseline Rd,Auto Theft
6343,2016-03-27 00:00:00,1500 Block 28th St,Burglary
6344,2016-03-27 00:00:00,2700 Block Arapahoe Ave,Burglary
6345,2016-03-27 00:00:00,2600 Block Arapahoe Ave,Burglary
6346,2016-03-26 00:00:00,400 Block Oakwood Pl,Burglary
6347,2016-03-20 00:00:00,4800 Block Meredith Way,Theft From Vehicle
6348,2016-03-19 00:00:00,1300 Block Rosewood Ave,Burglary
6349,2016-03-18 00:00:00,1800 Block 29th St,Burglary
6350,2016-03-29 00:00:00,500 Block 27th Way,Burglary
6351,2016-03-29 00:00:00,4300 Block Baseline Rd,Assault
6352,2016-03-29 00:00:00,5th St & Canyon Blvd,Vandalism
6353,2016-03-29 00:00:00,1100 Block Pearl St,Trespassing
6354,2016-03-29 00:00:00,2900 Block Pearl St,Vandalism
6355,2016-03-26 00:00:00,Newport Ln & Poplar Ave,Vandalism
6356,2016-03-14 00:00:00,1700 Block 28th St,Trespassing
6357,2016-02-11 00:00:00,1600 Block Walnut St,Theft From Vehicle
6358,2016-03-30 00:00:00,4600 Block Nautilus Ct S,Auto Theft
6359,2016-03-30 00:00:00,100 Block Broadway,Incident
6360,2016-03-30 00:00:00,2800 Block Mapleton St,Assault
6361,2016-03-30 00:00:00,4700 Block Arapahoe Ave,Indecent Exposure
6362,2017-11-26 00:00:00,1100 Block 10th St,Trespassing
6363,2016-03-27 00:00:00,1600 Block 30th St,Vandalism
6364,2016-03-25 00:00:00,600 Block Walden Cir,Incident
6365,2016-03-27 00:00:00,3800 Block Broadway,Theft From Vehicle
6366,2016-03-10 00:00:00,1100 Block Pleasant St,Theft From Vehicle
6367,2016-02-22 00:00:00,1800 Block Walnut St,Trespassing
6368,2016-03-11 00:00:00,1200 Block 13th St,Burglary
6369,2016-03-13 00:00:00,1100 Block University Ave,Burglary
6370,2016-03-27 00:00:00,900 Block Pearl St,Assault
6371,2016-03-09 00:00:00,4700 Block Tantra Dr,Burglary
6372,2016-03-28 00:00:00,15th St & Canyon Blvd,Vandalism
6373,2016-03-28 00:00:00,Broadway & Canyon Blvd,Trespassing
6374,2016-03-28 00:00:00,1400 Block Walnut St,Incident
6375,2016-03-28 00:00:00,14th St & College Ave,Vandalism
6376,2016-03-24 00:00:00,1100 Block Euclid Ave,Burglary
6377,2016-03-04 00:00:00,500 Block Mohawk Dr,Burglary
6378,2016-03-27 00:00:00,3100 Block Pearl Pkwy,Burglary
6379,2016-03-28 00:00:00,800 Block Inca Pkwy,Theft From Vehicle
6380,2016-03-23 00:00:00,Foothills Pkwy & Table Mesa Dr,Incident
6381,2016-03-19 00:00:00,1400 Block 28th St,Trespassing
6382,2016-03-21 00:00:00,1700 Block 18th St,Theft From Vehicle
6383,2016-04-02 00:00:00,3500 Block Kirkwood Pl,Sex Assault
6384,2016-04-02 00:00:00,1000 Block 12th St,Theft From Vehicle
6385,2016-04-04 00:00:00,800 Block University Ave,Trespassing
6386,2016-03-30 00:00:00,11th St & Marine St,Vandalism
6387,2016-03-30 00:00:00,1100 Block Lincoln Pl,Vandalism
6388,2016-03-28 00:00:00,1500 Block Greenbriar Blvd,Theft From Vehicle
6389,2016-03-15 00:00:00,1100 Block 12th St,Burglary
6390,2016-03-31 00:00:00,1400 Block Spruce St,Theft From Vehicle
6391,2016-03-31 00:00:00,3300 Block Talisman Ct,Vandalism
6392,2016-03-31 00:00:00,1600 Block Arapahoe Ave,Vandalism
6393,2016-03-31 00:00:00,800 Block Orman Dr,Incident
6394,2016-03-31 00:00:00,1300 Block High St,Trespassing
6395,2016-03-31 00:00:00,13th St & Pennsylvania Ave,Vandalism
6396,2016-03-31 00:00:00,1200 Block College Ave,Burglary
6397,2016-03-31 00:00:00,4900 Block Baseline Rd,Trespassing
6398,2016-04-04 00:00:00,800 Block 28th St,Burglary
6399,2016-04-01 00:00:00,1300 Block Euclid Ave,Vandalism
6400,2016-04-08 00:00:00,2500 Block 49th St,Burglary
6401,2016-04-09 00:00:00,200 Block Arapahoe Ave,Trespassing
6402,2016-04-08 00:00:00,3100 Block 28th St,Burglary
6403,2016-04-09 00:00:00,800 Block Dewey Ave,Theft From Vehicle
6404,2015-02-21 00:00:00,1400 Block Walnut St,Trespassing
6405,2015-02-20 00:00:00,1100 Block Portland Pl,Vandalism
6406,2015-03-17 00:00:00,800 Block 18th St,Vandalism
6407,2015-03-17 00:00:00,16th St & Aurora Ave,Vandalism
6408,2015-03-17 00:00:00,700 Block 19th St,Sex Assault
6409,2015-03-18 00:00:00,1000 Block Adams Cir,Vandalism
6410,2015-03-17 00:00:00,2800 Block Kalmia Ave,Burglary
6411,2015-03-18 00:00:00,2900 Block Baseline Rd,Vandalism
6412,2015-03-17 00:00:00,4200 Block Monroe Dr,Theft From Vehicle
6413,2015-03-17 00:00:00,1200 Block Pearl St,Trespassing
6414,2015-03-17 00:00:00,4100 Block Monroe Dr,Auto Theft
6415,2015-03-17 00:00:00,700 Block 18th St,Trespassing
6416,2015-03-15 00:00:00,1600 Block 30th St,Theft From Vehicle
6417,2015-03-15 00:00:00,2900 Block Baseline Rd,Theft From Vehicle
6418,2015-03-08 00:00:00,4500 Block Moorhead Ave,Sex Assault
6419,2015-03-08 00:00:00,2900 Block 4th St,Vandalism
6420,2015-03-07 00:00:00,4700 Block Pearl St,Incident
6421,2015-03-06 00:00:00,4700 Block Mckinley Dr,Vandalism
6422,2015-03-07 00:00:00,1200 Block Pennsylvania Ave,Vandalism
6423,2015-03-07 00:00:00,900 Block 28th St,Vandalism
6424,2015-03-07 00:00:00,13th St & Arapahoe Ave,Trespassing
6425,2015-03-08 00:00:00,1600 Block 30th St,Trespassing
6426,2015-03-07 00:00:00,5100 Block Santa Clara Pl,Assault
6427,2015-03-06 00:00:00,1000 Block Pleasant St,Assault
6428,2015-03-07 00:00:00,30th St & Arapahoe Ave,Trespassing
6429,2015-03-08 00:00:00,4500 Block Broadway,Vandalism
6430,2015-03-08 00:00:00,1300 Block 28th St,Assault
6431,2015-03-07 00:00:00,10th St & College Ave,Vandalism
6432,2015-03-06 00:00:00,700 Block 29th St,Vandalism
6433,2015-03-08 00:00:00,900 Block Marine St,Burglary
6434,2015-02-20 00:00:00,2400 Block Baseline Rd,Trespassing
6435,2015-02-16 00:00:00,28th Frontage Rd & Colorado Ave,Vandalism
6436,2015-02-19 00:00:00,1500 Block Grove St,Vandalism
6437,2015-02-17 00:00:00,1800 Block Broadway,Theft From Vehicle
6438,2015-02-21 00:00:00,5300 Block Manhattan Cir,Auto Theft
6439,2015-02-16 00:00:00,2100 Block Canyon Blvd,Burglary
6440,2015-02-21 00:00:00,2000 Block Bluff St,Burglary
6441,2015-03-09 00:00:00,400 Block S 40th St,Incident
6442,2015-03-09 00:00:00,1200 Block Yarmouth Ave,Trespassing
6443,2015-03-09 00:00:00,700 Block 30th St,Trespassing
6444,2015-03-09 00:00:00,1500 Block Euclid Ave,Burglary
6445,2015-03-09 00:00:00,Table Mesa Dr & Tantra Dr,Burglary
6446,2015-03-06 00:00:00,Arapahoe Ave & Lincoln Pl,Incident
6447,2015-03-09 00:00:00,700 Block 30th St,Burglary
6448,2015-03-12 00:00:00,5300 Block S Boulder Rd,Incident
6449,2015-03-12 00:00:00,2300 Block Walnut St,Theft From Vehicle
6450,2015-03-12 00:00:00,1500 Block Knox Dr,Sex Assault
6451,2015-03-11 00:00:00,3500 Block 28th St,Sex Assault
6452,2015-03-12 00:00:00,1100 Block Marine St,Vandalism
6453,2015-03-12 00:00:00,1000 Block Canyon Blvd,Vandalism
6454,2014-09-29 00:00:00,2100 Block Canyon Blvd,Sex Assault
6455,2015-03-18 00:00:00,1100 Block Pearl St,Sex Assault
6456,2015-03-18 00:00:00,3000 Block Fulton Cir,Vandalism
6457,2015-03-18 00:00:00,1200 Block College Ave,Burglary
