FID,REPORTDATE,BLOCKADD,OFFENSE
94,2008-11-17 00:00:00,Foothills Pkwy & Table Mesa Dr,Theft From Vehicle
95,2009-02-01 00:00:00,1300 Block Cascade Ave,Vandalism
96,2012-07-07 00:00:00,1300 Block 28th St,Incident
97,2009-09-24 00:00:00,3200 Block Kalmia Ave,Burglary
98,2009-12-16 00:00:00,00 Block Manhattan Dr,Burglary
99,2009-06-21 00:00:00,1600 Block 17th St,Burglary
100,2012-11-05 00:00:00,600 Block S Broadway,Incident
101,2012-10-20 00:00:00,2000 Block 14th St,Trespassing
102,2010-01-26 00:00:00,2400 Block Arapahoe Ave,Theft From Vehicle
103,2008-07-18 00:00:00,1500 Block 9th St,Burglary
104,2010-07-21 00:00:00,1100 Block Drexel St,Burglary
105,2009-02-09 00:00:00,4700 Block Table Mesa Dr,Vandalism
106,2010-01-20 00:00:00,1700 Block Aurora Ave,Vandalism
107,2009-10-16 00:00:00,2500 Block Pearl St,Vandalism
108,2008-07-28 00:00:00,1000 Block Lincoln Pl,Burglary
109,2009-08-20 00:00:00,2100 Block Baseline Rd,Burglary
110,2010-07-08 00:00:00,12th St & Pennsylvania Ave,Incident
111,2012-06-06 00:00:00,900 Block Broadway,Incident
112,2009-02-24 00:00:00,3600 Block Berkeley Ave,Vandalism
113,2009-05-09 00:00:00,1800 Block 33rd St,Vandalism
114,2010-04-28 00:00:00,1500 Block Eisenhower Dr,Vandalism
115,2010-03-03 00:00:00,1900 Block 22nd St,Theft From Vehicle
116,2011-09-06 00:00:00,3300 Block Arapahoe Ave,Robbery
117,2012-04-18 00:00:00,1600 Block 28th St,Incident
118,2011-09-17 00:00:00,4900 Block Osage Dr,Auto Theft
119,2008-09-07 00:00:00,6600 Block Lookout Rd,Vandalism
120,2010-05-17 00:00:00,1900 Block Canyon Bv,Incident
121,2009-04-10 00:00:00,500 Block Arapahoe Ave,Vandalism
122,2008-10-30 00:00:00,4800 Block Baseline Rd,Burglary
123,2010-01-06 00:00:00,1300 Block 28th St,Auto Theft
124,2011-10-30 00:00:00,1500 Block Broadway,Vandalism
125,2008-01-30 00:00:00,2400 Block 13th St,Vandalism
126,2011-09-18 00:00:00,30th St & Valmont Rd,Robbery
127,2008-11-08 00:00:00,1800 Block 33rd St,Vandalism
128,2009-08-25 00:00:00,200 Block Arapahoe Ave,Recovery
129,2008-09-11 00:00:00,4900 Block Noble Park Pl,Burglary
130,2010-08-18 00:00:00,2800 Block 29th St,Vandalism
131,2010-08-18 00:00:00,2000 Block Goss St,Theft From Vehicle
132,2010-08-18 00:00:00,1700 Block 15th St,Auto Theft
133,2010-08-17 00:00:00,1500 Block Eisenhower Dr,Auto Theft
134,2012-06-14 00:00:00,3000 Block 29th St,Theft From Vehicle
135,2010-08-19 00:00:00,2200 Block Canyon Blvd,Vandalism
136,2012-02-05 00:00:00,800 Block 29th St,Vandalism
137,2012-04-15 00:00:00,900 Block 15th St,Vandalism
138,2012-04-15 00:00:00,800 Block Aurora Ave,Vandalism
139,2012-04-15 00:00:00,900 Block 15th St,Vandalism
140,2013-07-13 00:00:00,800 Block 17th St,Burglary
141,2010-08-19 00:00:00,Broadway & Pearl St,Vandalism
142,2010-08-19 00:00:00,900 Block Grandview Ave,Sex Assault
143,2010-08-19 00:00:00,1000 Block University Ave,Vandalism
144,2010-08-19 00:00:00,2100 Block Goss Cr,Vandalism
145,2010-08-19 00:00:00,900 Block Marine St,Vandalism
146,2010-08-18 00:00:00,2600 Block Pine St,Vandalism
147,2012-04-15 00:00:00,5500 Block Arapahoe Ave,Burglary
148,2012-04-15 00:00:00,14th St & Aurora Ave,Vandalism
149,2012-02-05 00:00:00,1600 Block Grove St,Vandalism
150,2012-02-06 00:00:00,1500 Block North St,Indecent Exposure
151,2011-12-06 00:00:00,Crime occurred at an unknown location,Incident
152,2011-08-29 00:00:00,2800 Block E Aurora Ave,Vandalism
153,2011-08-19 00:00:00,5700 Block Arapahoe Ave,Theft From Vehicle
154,2010-09-03 00:00:00,3200 Block Walnut St,Incident
155,2010-08-20 00:00:00,5th St & Canyon Blvd,Trespassing
156,2010-08-20 00:00:00,1600 Block Arapahoe Ave,Vandalism
157,2010-08-20 00:00:00,900 Block 16th St,Theft From Vehicle
158,2010-08-20 00:00:00,1500 Block Eisenhower Dr,Trespassing
159,2012-04-15 00:00:00,2600 Block Canyon Blvd,Trespassing
160,2010-08-20 00:00:00,900 Block Baseline Rd,Burglary
161,2010-08-20 00:00:00,3000 Block Moorhead Ave,Burglary
162,2012-03-13 00:00:00,4200 Block Martin Dr,Theft From Vehicle
163,2012-01-18 00:00:00,13th St & Pine St,Vandalism
164,2012-01-12 00:00:00,1900 Block Grove St,Burglary
165,2010-08-20 00:00:00,4900 Block Table Mesa Dr,Trespassing
166,2010-08-20 00:00:00,1200 Block Pearl St,Incident
167,2010-08-21 00:00:00,1900 Block Grandview Ave,Vandalism
168,2010-08-21 00:00:00,1100 Block Balsam Ave,Trespassing
169,2010-08-21 00:00:00,400 Block Manhatan Dr,Theft From Vehicle
170,2010-08-21 00:00:00,1300 Block Pearl St,Indecent Exposure
171,2012-06-12 00:00:00,1100 Block Grandview Ave,Burglary
172,2010-08-28 00:00:00,1700 Block Sunset Blvd,Burglary
173,2010-08-21 00:00:00,300 Block Harvard Ln,Vandalism
